Species,Country,Kingdom,Phylum,System,Native_Regions
Chrysanthemoides monilifera,"Australia, France, Italy, New_zealand, Saint_helena, South_africa",Plantae,Magnoliophyta,Terrestrial,"Australia, South Africa, Spain"
Chrysobalanus icaco,"French_polynesia, Guadeloupe, Martinique, Reunion, Saint_barthelemy, Saint_martin",Plantae,Magnoliophyta,Terrestrial,"Brazil, Seychelles"
Chrysolophus pictus,"Argentina, Austria, Belgium, Colombia, Czech_republic, Denmark, Ecuador, Poland, Sweden, United_kingdom",Animalia,Chordata,Terrestrial,"China, France, Israel, United Kingdom of Great Britain and Northern Ireland, United States of America"
Chthamalus proteus,"Brazil, French_polynesia, Guam, Northern_mariana_islands, Panama, Puerto_rico, Trinidad_and_tabago, United_states, United_states_minor_outlying_islands, Virgin_islands_us",Animalia,Arthropoda,Terrestrial,Mexico
Cichla ocellaris,"Belize, Bolivia, Brazil, Colombia, Dominican_republic, Ecuador, France, French_guiana, Guam, Guyana, Panama, Peru, Puerto_rico, Singapore, Suriname, United_states, Venezuela",Animalia,Chordata,Freshwater,"Brazil, Venezuela (Bolivarian Republic of)"
Cichlasoma urophthalmus,"Belize, Guatemala, Honduras, Mexico, Nicaragua, Singapore, Thailand, United_states",Animalia,Chordata,Freshwater,"Belize, Guatemala, Honduras, Mexico, Nicaragua, Singapore, United States of America"
Cinara cupressi,"Argentina, Canada, Chile, China, Germany, Israel, Italy, Lithuania, Netherlands, Pakistan, Poland, Russia, Slovakia, Switzerland, United_kingdom, United_states",Animalia,Arthropoda,Terrestrial,
Cinchona pubescens,"Bolivia, Colombia, Costa_rica, Ecuador, French_polynesia, Panama, Peru, United_states, Venezuela",Plantae,Magnoliophyta,Terrestrial,"Colombia, Ecuador, India, Japan"
Cinnamomum camphora,"Australia, Bermuda, China, Cuba, Dominican_republic, French_polynesia, Ghana, Guadeloupe, Haiti, India, Japan, Nepal, New_calcedonia, North_korea, Puerto_rico, Reunion, Taiwan, United_states, Vietnam, Virgin_islands_us",Plantae,Magnoliophyta,Terrestrial,"Australia, China, Chinese Taipei"
Cinnamomum verum,"French_polynesia, Guadeloupe, Martinique, Mayotte, New_calcedonia, Reunion, Seychelles",Plantae,Magnoliophyta,Terrestrial,"India, Seychelles, Sri Lanka"
Ciona intestinalis,"Australia, Brazil, Canada, Chile, Hong_kong, New_zealand, North_korea, South_africa, United_states",Animalia,Chordata,Marine,"Italy, United States of America"
Cipangopaludina chinensis,"Canada, China, Indonesia, Japan, Myanmar, Netherlands, Philippines, Russia, South_korea, Taiwan, Thailand, United_states, Vietnam",Animalia,Mollusca,Freshwater,Spain
Circus approximans,French_polynesia,Animalia,Chordata,Terrestrial,"Australia, New Zealand"
Cirsium arvense,"Afghanistan, Albania, Antarctica, Armenia, Australia, Austria, Azerbaijan, Belarus, Belgium, Bulgaria, Canada, China, Czech_republic, Denmark, Estonia, Falkland_islands, Finland, France, Georgia, Germany, Hungary, India, Iran, Ireland, Italy, Japan, Latvia, Lithuania, Moldova, Netherlands, New_zealand, Norway, Poland, Portugal, Romania, Russia, Saint_pierre_and_miquelon, Slovakia, Spain, Sweden, Switzerland, Turkey, Turkmenistan, Ukraine, United_kingdom, United_states",Plantae,Magnoliophyta,Terrestrial,"Russian Federation, Spain"
Cirsium vulgare,"Antarctica, Falkland_islands, New_calcedonia, Reunion, Saint_helena, Saint_pierre_and_miquelon",Plantae,Magnoliophyta,Terrestrial,"France, Russian Federation, Spain"
Citharexylum spinosum,"Australia, Bahamas, Fiji, French_polynesia, Guyana, New_calcedonia, Suriname, United_states, Venezuela",Plantae,Magnoliophyta,Terrestrial,"Cuba, Puerto Rico"
Civettictis civetta,"Angola, Benin, Botswana, Burkina_faso, Cameroon, Central_african_republic, Congo, Cote_d'ivoire, Djibouti, Equatorial_guinea, Ethiopia, Gabon, Gambia, Ghana, Guinea, Guinea_bissau, Kenya, Liberia, Malawi, Mauritania, Mozambique, Namibia, Niger, Nigeria, Rwanda, Sao_tome_and_principe, Senegal, Sierra_leone, Somalia, South_africa, Sudan, Swaziland, Tanzania, Togo, Uganda, Zambia, Zimbabwe",Animalia,Chordata,Terrestrial,Angola
Clarias batrachus,"Bangladesh, Cambodia, China, Guam, Hong_kong, India, Indonesia, Japan, Laos, Malaysia, Myanmar, Nepal, Pakistan, Papua_new_guinea, Philippines, Singapore, Sri_lanka, Taiwan, Thailand, United_kingdom, United_states, Vietnam",Animalia,Chordata,Freshwater,"Cambodia, India, Philippines, United States of America"
Clarias gariepinus,"Algeria, Angola, Argentina, Bangladesh, Benin, Botswana, Brazil, Burkina_faso, Burundi, Cambodia, Cameroon, Central_african_republic, Chad, China, Congo, Cote_d'ivoire, Cyprus, Czech_republic, Democratic_republic_of_congo, Egypt, Eritrea, Ethiopia, France, Gabon, Ghana, Guinea, Hungary, India, Indonesia, Iraq, Israel, Jordan, Kenya, Lebanon, Lesotho, Libya, Malawi, Malaysia, Mali, Mozambique, Myanmar, Namibia, Nepal, Netherlands, Niger, Nigeria, Philippines, Poland, Russia, Rwanda, Senegal, Singapore, Slovakia, Somalia, South_africa, Sudan, Swaziland, Syrian_arab_republic, Tanzania, Thailand, Togo, Turkey, Uganda, Vietnam, Zambia, Zimbabwe",Animalia,Chordata,,"Benin, Botswana, Congo, Congo, Democratic Republic of the, Ethiopia, Israel, Mali, South Africa, Tanzania, United Republic of, Zambia"
Clematis terniflora,"China, Japan, Mongolia, North_korea, Russia, South_korea, Taiwan, United_states",Plantae,Magnoliophyta,Terrestrial,"China, Chinese Taipei, Russian Federation, United States of America"
Clematis vitalba,"Afghanistan, Albania, Algeria, Armenia, Austria, Azerbaijan, Belgium, Bulgaria, Canada, Cyprus, Czech_republic, France, Georgia, Germany, Greece, Hungary, Iran, Italy, Lebanon, Netherlands, New_zealand, Poland, Portugal, Romania, Russia, Spain, Switzerland, Syrian_arab_republic, Turkey, Ukraine, United_kingdom, United_states",Plantae,Magnoliophyta,Terrestrial,Spain
Clidemia hirta,"American_samoa, Comoros, Fiji, Guadeloupe, Indonesia, Madagascar, Malaysia, Martinique, Mauritius, Mayotte, Palau, Reunion, Saint_helena, Samoa, Seychelles, Singapore, Sri_lanka, Tanzania, United_states, Wallis_and_futuna",Plantae,Magnoliophyta,Terrestrial,"Brazil, Chinese Taipei, Colombia, Timor-Leste"
Coccinia grandis,"China, Fiji, French_guiana, French_polynesia, Guam, India, Indonesia, Malaysia, Marshall_islands, Micronesia, Northern_mariana_islands, Papua_new_guinea, Philippines, Reunion, Saint_lucia, Samoa, Thailand, Tonga, United_states, Vanauatu, Vietnam",Plantae,Magnoliophyta,Terrestrial,"Australia, Chinese Taipei, Guyana, Timor-Leste"
Cochlicella barbara,Australia,Animalia,Mollusca,Terrestrial,Spain
Codium fragile ssp. tomentosoides,"Algeria, Australia, Canada, Chile, Denmark, France, Greece, Ireland, Italy, Japan, Jersey, Netherlands, New_zealand, Norway, Portugal, Slovenia, South_africa, Spain, Sweden, Tunisia, Turkey, United_kingdom, United_states",Plantae,Chlorophyta,Marine,"Australia, New Zealand, Portugal, Spain, United Kingdom of Great Britain and Northern Ireland"
Colubrina asiatica,"Australia, Bahamas, Cambodia, China, Fiji, India, Indonesia, Kenya, Laos, Madagascar, Malaysia, Mexico, Mozambique, Myanmar, New_calcedonia, Papua_new_guinea, Philippines, Seychelles, Solomon_islands, Sri_lanka, Taiwan, Thailand, United_states, Vanauatu, Vietnam",Plantae,Magnoliophyta,Terrestrial,"Australia, Chinese Taipei, Japan, New Caledonia, Papua New Guinea, Seychelles, Thailand, Tonga, United States of America"
Columba livia,"Afghanistan, Albania, Algeria, American_samoa, Andorra, Angola, Anguilla, Argentina, Australia, Austria, Bahamas, Bangladesh, Barbados, Belarus, Belgium, Belize, Bermuda, Bes_islands, Bhutan, Bolivia, Bosnia_and_herzegovnia, Botswana, Brazil, Brunei_darussalam, Bulgaria, Burkina_faso, Cambodia, Cameroon, Canada, Cape_verde, Cayman_islands, Chad, Chile, China, Colombia, Comoros, Cook_islands, Costa_rica, Cote_d'ivoire, Croatia, Cuba, Cyprus, Czech_republic, Democratic_republic_of_congo, Denmark, Djibouti, Dominican_republic, Ecuador, Egypt, El_salvador, Eritrea, Estonia, Ethiopia, Faroe_islands, Fiji, Finland, France, French_guiana, French_polynesia, Gabon, Gambia, Germany, Ghana, Gibraltar, Greece, Grenada, Guadeloupe, Guam, Guatemala, Guernsey, Guinea, Guinea_bissau, Guyana, Haiti, Honduras, Hong_kong, Hungary, Iceland, India, Indonesia, Ireland, Isle_of_man, Italy, Jamaica, Japan, Jersey, Kazakhstan, Kenya, Kiribati, Kuwait, Kyrgystan, Laos, Latvia, Lebanon, Lesotho, Liberia, Libya, Liechtenstein, Lithuania, Macedonia, Madagascar, Malaysia, Maldives, Mali, Malta, Martinique, Mauritania, Mauritius, Mayotte, Mexico, Moldova, Monaco, Mongolia, Montserrat, Morocco, Mozambique, Myanmar, Namibia, Nepal, Netherlands, New_calcedonia, New_zealand, Nicaragua, Nigeria, Norfolk_island, North_korea, Norway, Pakistan, Panama, Papua_new_guinea, Paraguay, Peru, Poland, Portugal, Puerto_rico, Reunion, Romania, Russia, Saint_helena, Saint_kitts_and_nevis, Saint_lucia, Saint_pierre_and_miquelon, Saint_vincent_and_the_grenadines, Samoa, San_marino, Sao_tome_and_principe, Senegal, Seychelles, Singapore, Slovakia, Slovenia, Somalia, South_africa, South_korea, Spain, Sri_lanka, Sudan, Suriname, Swaziland, Sweden, Switzerland, Syrian_arab_republic, Taiwan, Tajikistan, Thailand, Togo, Tonga, Trinidad_and_tabago, Tunisia, Turkey, Turkmenistan, Turks_and_caicos_islands, Uganda, Ukraine, United_kingdom, United_states, Uruguay, Uzbekistan, Venezuela, Vietnam, Wallis_and_futuna, Western_sahara, Zambia, Zimbabwe",Animalia,Chordata,Terrestrial,"Ecuador, Estonia, France, Israel, Spain, United States of America"
Commelina benghalensis,"Australia, Benin, Bhutan, Botswana, British_indian_ocean_territory, Cameroon, Christmas_island, Cote_d'ivoire, Democratic_republic_of_congo, Djibouti, Ethiopia, Gambia, Ghana, Guam, Guinea, India, Indonesia, Japan, Kenya, Lesotho, Madagascar, Malawi, Malaysia, Mauritius, Mexico, Namibia, Nepal, New_calcedonia, Nigeria, Northern_mariana_islands, Pakistan, Philippines, Rwanda, Samoa, Sierra_leone, Solomon_islands, Somalia, South_africa, Sri_lanka, Swaziland, Taiwan, Tanzania, Togo, Tonga, Uganda, United_states, Vanauatu, Vietnam, Zambia",Plantae,Magnoliophyta,Terrestrial,"Australia, Chinese Taipei, India, Papua New Guinea, Timor-Leste"
Conyza floribunda,"Saint_helena, United_states",Plantae,Magnoliophyta,Terrestrial,"Argentina, Australia, Brazil, Peru"
Coptotermes formosanus,"China, Guam, Hong_kong, Japan, South_africa, Sri_lanka, Taiwan, United_states, United_states_minor_outlying_islands",Animalia,Arthropoda,Terrestrial,
Corbicula fluminea,"Argentina, Belgium, China, France, Japan, North_korea, Panama, Russia, United_states",Animalia,Mollusca,Freshwater,"Spain, United States of America"
Cornu aspersum,United_states,Animalia,Mollusca,Terrestrial,"Australia, France, Italy, Spain, United Kingdom of Great Britain and Northern Ireland"
Coronilla varia,"Albania, Armenia, Australia, Austria, Azerbaijan, Belarus, Bulgaria, Czech_republic, Estonia, France, Georgia, Germany, Greece, Hungary, Iran, Iraq, Italy, Latvia, Lebanon, Lithuania, Moldova, New_zealand, Poland, Romania, Russia, Spain, Switzerland, Syrian_arab_republic, Turkey, Turkmenistan, Ukraine, United_states",Plantae,Magnoliophyta,Terrestrial,"Italy, Netherlands, New Zealand, Russian Federation, Slovenia, South Africa, Spain, United Kingdom of Great Britain and Northern Ireland, United States of America"
Cortaderia jubata,"Argentina, Australia, Bolivia, Ecuador, New_zealand, Peru, South_africa, United_states",Plantae,Magnoliophyta,Terrestrial,"Australia, Chile, Ecuador"
Cortaderia selloana,"Argentina, Australia, Brazil, Chile, Cook_islands, France, French_polynesia, Italy, New_calcedonia, New_zealand, Paraguay, Reunion, Swaziland, United_states, Uruguay",Plantae,Magnoliophyta,Terrestrial,"Argentina, Australia, Brazil, Portugal, Spain, United States of America"
Corvus brachyrhynchos,Bermuda,Animalia,Chordata,Terrestrial,United States of America
Corvus frugilegus,New_zealand,Animalia,Chordata,Terrestrial,"Afghanistan, Austria, China, Denmark, France, Germany, Iran (Islamic Republic of), Ireland, Israel, Korea, Republic of, Montenegro, Netherlands, Poland, Romania, Serbia, Spain, Sweden, Ukraine, United Kingdom of Great Britain and Northern Ireland"
Corvus splendens,"Afghanistan, Australia, Bahrain, Bangladesh, Barbados, Bhutan, China, Denmark, Djibouti, Egypt, Eritrea, France, Hong_kong, India, Indonesia, Iran, Ireland, Israel, Japan, Jordan, Kenya, Malaysia, Maldives, Mauritius, Morocco, Mozambique, Nepal, Netherlands, Oman, Pakistan, Qatar, Reunion, Saudi_arabia, Seychelles, Singapore, Somalia, South_africa, Spain, Sri_lanka, Taiwan, Tanzania, Thailand, United_arab_emirates, United_kingdom, United_states, Yemen",Animalia,Chordata,Terrestrial,"India, Israel, Kenya, Malaysia, Myanmar, Nepal, Oman, Pakistan, Singapore, Spain, Sri Lanka, Thailand"
Cotinus coggygria,"Albania, Armenia, Austria, Azerbaijan, Bulgaria, China, Czech_republic, France, Georgia, Germany, Greece, Hungary, India, Iran, Italy, Jordan, Nepal, Pakistan, Romania, Russia, Slovakia, Slovenia, Switzerland, Syrian_arab_republic, Turkey, Ukraine, United_kingdom, United_states",Plantae,Magnoliophyta,Terrestrial,"Italy, Romania, Slovenia, United States of America"
Coturnix japonica,"France, Italy, Mongolia, Portugal, Senegal, Spain",Animalia,Chordata,Terrestrial,"China, Japan, Philippines, Spain, United States of America"
Crassostrea gigas,"Australia, Belgium, Canada, Chile, China, Cyprus, Denmark, France, French_polynesia, Germany, Greece, Japan, Jersey, Malta, Morocco, Netherlands, New_zealand, Norway, Portugal, South_africa, South_korea, Spain, Tunisia, United_kingdom, United_states, Vanauatu",Animalia,Mollusca,Marine,Spain
Crassula helmsii,"Australia, Belgium, Denmark, France, Germany, Ireland, Italy, Netherlands, New_zealand, Portugal, Russia, Spain, United_kingdom, United_states",Plantae,Magnoliophyta,Terrestrial,"Australia, United Kingdom of Great Britain and Northern Ireland"
Crepidula fornicata,"Canada, Denmark, France, Italy, Jersey, Mexico, Netherlands, Norway, Spain, Sweden, United_kingdom, United_states",Animalia,Mollusca,Marine,"Mexico, United Kingdom of Great Britain and Northern Ireland, United States of America"
Cricetomys gambianus,"Angola, Benin, Botswana, Burkina_faso, Burundi, Cameroon, Central_african_republic, Chad, Congo, Cote_d'ivoire, Democratic_republic_of_congo, Equatorial_guinea, Gabon, Gambia, Ghana, Guinea, Guinea_bissau, Kenya, Liberia, Malawi, Mali, Mauritania, Mozambique, Niger, Nigeria, Rwanda, Senegal, Sierra_leone, South_africa, Sudan, Tanzania, Togo, Uganda, United_states, Zambia, Zimbabwe",Animalia,Chordata,Terrestrial,"Angola, Cameroon, Central African Republic, Congo, Congo, Democratic Republic of the, Côte d’Ivoire, Gabon, Ghana, Kenya, Malawi, Sierra Leone, Tanzania, United Republic of, Uganda, Zambia"
Crocidura suaveolens,"Afghanistan, Albania, Algeria, Armenia, Austria, Azerbaijan, Belarus, Bosnia_and_herzegovnia, Bulgaria, China, Croatia, Cyprus, Czech_republic, Egypt, France, Georgia, Germany, Greece, Hungary, Iran, Iraq, Israel, Italy, Jordan, Kazakhstan, Kuwait, Kyrgystan, Lebanon, Liechtenstein, Macedonia, Moldova, Montenegro, Morocco, Poland, Portugal, Romania, Russia, Saudi_arabia, Serbia, Slovakia, Slovenia, Spain, State_of_palestine, Switzerland, Syrian_arab_republic, Turkey, Turkmenistan, Ukraine, United_kingdom, Uzbekistan",Animalia,Chordata,Terrestrial,"Austria, Bulgaria, China, Czechia, Greece, Hungary, Iran (Islamic Republic of), Israel, Italy, Kazakhstan, Korea, Republic of, Mongolia, Pakistan, Russian Federation, Slovenia"
Cryptococcus fagisuga,"Canada, France, Georgia, Iran, Ireland, Italy, Netherlands, Turkey, United_kingdom, United_states",Animalia,Arthropoda,Terrestrial,
Cryptostegia grandiflora,"Aruba, Australia, Cayman_islands, Ecuador, Fiji, French_polynesia, Guam, India, Madagascar, Marshall_islands, Mauritius, Mayotte, Montserrat, New_calcedonia, Northern_mariana_islands, Reunion, Saint_martin, United_states, Virgin_islands_us",Plantae,Magnoliophyta,Terrestrial,Australia
Cryptostegia madagascariensis,"Anguilla, Australia, Brazil, Cook_islands, India, Kenya, Madagascar, Mauritius, Montserrat, Palau, Puerto_rico, Saint_lucia, Seychelles, United_states, Virgin_islands_british",Plantae,Magnoliophyta,Terrestrial,
Ctenopharyngodon idella,"Afghanistan, Albania, Algeria, Argentina, Armenia, Austria, Azerbaijan, Bangladesh, Belarus, Belgium, Bhutan, Bolivia, Brazil, Brunei_darussalam, Bulgaria, Cambodia, Canada, China, Colombia, Costa_rica, Cote_d'ivoire, Croatia, Cuba, Cyprus, Czech_republic, Denmark, Egypt, Estonia, Ethiopia, Fiji, Finland, France, Germany, Greece, Guyana, Honduras, Hong_kong, Hungary, India, Indonesia, Iran, Iraq, Israel, Italy, Jamaica, Japan, Kazakhstan, Kenya, Kuwait, Kyrgystan, Laos, Latvia, Malaysia, Mauritius, Mexico, Moldova, Mongolia, Morocco, Mozambique, Myanmar, Nepal, Netherlands, New_zealand, Nigeria, North_korea, Pakistan, Panama, Peru, Philippines, Poland, Puerto_rico, Reunion, Romania, Russia, Rwanda, Singapore, Slovakia, Slovenia, South_africa, Sri_lanka, Sudan, Sweden, Taiwan, Tanzania, Thailand, Tunisia, Turkey, Turkmenistan, Ukraine, United_arab_emirates, United_kingdom, United_states, Uruguay, Uzbekistan, Vietnam",Animalia,Chordata,Freshwater,"China, Israel, Spain, Sweden, United States of America"
Ctenosaura similis,"Belize, Costa_rica, El_salvador, Guatemala, Honduras, Mexico, Nicaragua, Panama, United_states, Venezuela",Animalia,Chordata,Terrestrial,"Belize, Costa Rica, El Salvador, Guatemala, Honduras, Mexico, Nicaragua, United States of America"
Cupaniopsis anacardioides,"Australia, Indonesia, Papua_new_guinea, United_states",Plantae,Magnoliophyta,Terrestrial,Australia
Cuphea ignea,Reunion,Plantae,Magnoliophyta,Terrestrial,"Chinese Taipei, Papua New Guinea"
Cyathea cooperi,"Australia, French_polynesia, Mauritius, New_calcedonia, New_zealand, Reunion, United_states",Plantae,Pteridophyta,Terrestrial,"Australia, France"
Cygnus atratus,New_zealand,Animalia,Chordata,Freshwater_terrestrial,Australia
Cygnus olor,"Australia, Austria, Belarus, Belgium, Bulgaria, Canada, Colombia, Croatia, Cyprus, Czech_republic, Denmark, Dominican_republic, Estonia, Faroe_islands, Finland, France, Germany, Greece, Hungary, Iceland, India, Ireland, Israel, Italy, Japan, Kazakhstan, Kuwait, Latvia, Liechtenstein, Lithuania, Moldova, Netherlands, New_zealand, North_korea, Norway, Peru, Poland, Portugal, Romania, Russia, Slovakia, Slovenia, South_africa, South_korea, Spain, Sweden, Switzerland, Turkey, Ukraine, United_arab_emirates, United_kingdom, United_states",Animalia,Chordata,Freshwater_terrestrial,"Estonia, Netherlands, New Zealand, Spain, United Kingdom of Great Britain and Northern Ireland, United States of America"
Cylindroiulus latestriatus,"Saint_helena, United_states",Animalia,Arthropoda,Terrestrial,United States of America
Cynanchum rossicum,"Canada, Germany, Norway, Russia, Ukraine, United_states",Plantae,Magnoliophyta,Terrestrial,United States of America
Cynara cardunculus,"Australia, Cyprus, Ecuador, France, Greece, Italy, Libya, Morocco, New_zealand, Portugal, Spain, Tunisia, Turkey, United_kingdom, United_states",Plantae,Magnoliophyta,Terrestrial,"Australia, Greece, Italy, Portugal, Spain"
Cynictis penicillata,"Angola, Botswana, Lesotho, Namibia, South_africa, Swaziland, Zimbabwe",Animalia,Chordata,Terrestrial,"Botswana, Namibia, South Africa"
Cynodon dactylon,"American_samoa, Australia, Bermuda, British_indian_ocean_territory, Cambodia, Chile, Christmas_island, Colombia, Ecuador, El_salvador, Fiji, French_polynesia, Guam, Guatemala, Indonesia, Kiribati, Malaysia, Marshall_islands, Mauritius, Mexico, Micronesia, Nauru, New_calcedonia, New_zealand, Nicaragua, Niue, Northern_mariana_islands, Palau, Peru, Philippines, Pitcairn, Saint_helena, Seychelles, Singapore, Solomon_islands, Thailand, Tonga, United_states, United_states_minor_outlying_islands, Vietnam",Plantae,Magnoliophyta,Terrestrial,"Australia, Bhutan, Chinese Taipei, Spain"
Cynoglossum officinale,"Albania, Armenia, Austria, Azerbaijan, Belarus, Belgium, Canada, Czech_republic, Denmark, Estonia, Finland, France, Georgia, Germany, Greece, Hungary, Iran, Ireland, Italy, Kazakhstan, Kuwait, Kyrgystan, Latvia, Lithuania, Netherlands, Norway, Poland, Romania, Russia, Spain, Sweden, Switzerland, Turkey, Ukraine, United_kingdom, United_states",Plantae,Magnoliophyta,Terrestrial,"Canada, France, Guernsey, Italy, Kazakhstan, United Kingdom of Great Britain and Northern Ireland, United States of America"
Cyperus rotundus,"Afghanistan, American_samoa, Angola, Argentina, Australia, Bangladesh, Bermuda, Bolivia, Brazil, British_indian_ocean_territory, Brunei_darussalam, Cambodia, Cameroon, Chad, Chile, China, Christmas_island, Colombia, Cook_islands, Costa_rica, Cote_d'ivoire, Cuba, Dominican_republic, Ecuador, Egypt, El_salvador, Ethiopia, Fiji, France, French_polynesia, Gabon, Ghana, Greece, Guam, Guatemala, Guinea, Honduras, India, Indonesia, Iran, Iraq, Israel, Italy, Jamaica, Japan, Jordan, Kenya, Kiribati, Lebanon, Madagascar, Malaysia, Maldives, Mali, Marshall_islands, Mauritania, Mauritius, Mexico, Micronesia, Morocco, Mozambique, Nauru, New_calcedonia, New_zealand, Nicaragua, Niger, Nigeria, Niue, Norfolk_island, North_korea, Northern_mariana_islands, Pakistan, Palau, Panama, Papua_new_guinea, Paraguay, Peru, Philippines, Portugal, Puerto_rico, Russia, Saint_helena, Samoa, Senegal, Seychelles, Singapore, Solomon_islands, South_africa, South_korea, Spain, Sri_lanka, Sudan, Suriname, Swaziland, Taiwan, Tanzania, Thailand, Tokelau, Tonga, Trinidad_and_tabago, Tunisia, Turkey, Uganda, United_states, United_states_minor_outlying_islands, Uruguay, Vanauatu, Venezuela, Vietnam, Virgin_islands_us, Wallis_and_futuna, Zambia, Zimbabwe",Plantae,Magnoliophyta,Terrestrial,"Australia, Chinese Taipei, Spain"
Cyprinella lutrensis,"Mexico, United_states",Animalia,Chordata,Freshwater,United States of America
Cyprinus carpio,"Afghanistan, Albania, Algeria, Angola, Argentina, Armenia, Australia, Austria, Azerbaijan, Bangladesh, Belarus, Belgium, Bhutan, Bolivia, Bosnia_and_herzegovnia, Botswana, Brazil, Brunei_darussalam, Bulgaria, Burundi, Cambodia, Cameroon, Canada, Central_african_republic, Chile, China, Colombia, Congo, Costa_rica, Cote_d'ivoire, Croatia, Cuba, Cyprus, Czech_republic, Denmark, Dominican_republic, Ecuador, Egypt, El_salvador, Estonia, Ethiopia, Fiji, Finland, France, French_polynesia, Georgia, Germany, Ghana, Greece, Guam, Guatemala, Haiti, Honduras, Hong_kong, Hungary, India, Indonesia, Iran, Iraq, Ireland, Israel, Italy, Jamaica, Japan, Jordan, Kazakhstan, Kenya, Kuwait, Kyrgystan, Laos, Latvia, Lebanon, Lesotho, Liberia, Liechtenstein, Lithuania, Luxembourg, Macedonia, Madagascar, Malawi, Malaysia, Malta, Mauritius, Mexico, Moldova, Mongolia, Morocco, Mozambique, Myanmar, Namibia, Nepal, Netherlands, New_calcedonia, New_zealand, Nicaragua, Nigeria, North_korea, Norway, Pakistan, Panama, Papua_new_guinea, Paraguay, Philippines, Poland, Portugal, Puerto_rico, Reunion, Romania, Russia, Rwanda, Saudi_arabia, Singapore, Slovakia, Slovenia, South_africa, South_korea, Spain, Sri_lanka, Sudan, Suriname, Swaziland, Sweden, Switzerland, Syrian_arab_republic, Taiwan, Tajikistan, Tanzania, Thailand, Timor_leste, Togo, Tunisia, Turkey, Turkmenistan, Uganda, Ukraine, United_kingdom, United_states, Uruguay, Uzbekistan, Venezuela, Vietnam, Zambia, Zimbabwe",Animalia,Chordata,Freshwater,"China, Japan, Russian Federation, Spain, United States of America"
Cytisus scoparius,"Australia, Austria, Belarus, Belgium, Canada, Czech_republic, Denmark, France, Germany, Hungary, Ireland, Italy, Lithuania, Moldova, Netherlands, New_zealand, Norway, Poland, Portugal, Romania, Spain, Sweden, Switzerland, Ukraine, United_kingdom, United_states",Plantae,Magnoliophyta,Terrestrial,"Australia, Canada, Croatia, France, Germany, Guernsey, Hungary, Italy, Jersey, Netherlands, Portugal, Spain, United Kingdom of Great Britain and Northern Ireland, United States of America"
Cytisus striatus,"Morocco, Portugal, Spain, United_states",Plantae,Magnoliophyta,Terrestrial,Portugal
Dacelo novaeguineae,New_zealand,Animalia,Chordata,Terrestrial,Australia
Dactylis glomerata,Seychelles,Plantae,Magnoliophyta,Terrestrial,"Estonia, Kazakhstan, Spain"
Dalbergia sissoo,"Afghanistan, Australia, Bangladesh, Benin, Bhutan, Cameroon, Costa_rica, Cyprus, Ethiopia, French_polynesia, Gabon, Ghana, India, Indonesia, Iran, Iraq, Israel, Kenya, Malaysia, Mauritius, Myanmar, Nepal, New_calcedonia, Nigeria, Oman, Pakistan, Senegal, South_africa, Sri_lanka, Sudan, Taiwan, Tanzania, Thailand, Togo, United_states, Zimbabwe",Plantae,Magnoliophyta,Terrestrial,"Australia, Chinese Taipei"
Dama dama,"Albania, Antigua_and_barbuda, Argentina, Australia, Austria, Belarus, Belgium, Bosnia_and_herzegovnia, Bulgaria, Canada, Chile, Croatia, Cyprus, Czech_republic, Denmark, Estonia, Fiji, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Macedonia, Madagascar, Moldova, Montenegro, Netherlands, New_zealand, Norway, Peru, Poland, Portugal, Romania, Russia, Serbia, Slovakia, Slovenia, South_africa, Spain, Sweden, Switzerland, Turkey, Ukraine, United_kingdom, United_states, Uruguay, Virgin_islands_british",Animalia,Chordata,Terrestrial,"France, Israel, Italy, Kenya, Mexico, Spain, United Kingdom of Great Britain and Northern Ireland, United States of America"
Daphnia lumholtzi,"Australia, Brazil, Canada, India, United_kingdom, United_states",Animalia,Arthropoda,Terrestrial,
Delairea odorata,"Australia, Italy, Micronesia, New_zealand, Portugal, South_africa, Spain, United_kingdom, United_states",Plantae,Magnoliophyta,Terrestrial,"South Africa, Spain"
Dendrobaena octaedra,"Austria, Belarus, Belgium, Bosnia_and_herzegovnia, Bulgaria, Canada, Chile, Colombia, Croatia, Czech_republic, Denmark, Estonia, Faroe_islands, Finland, France, Georgia, Germany, Hungary, Iceland, India, Ireland, Italy, Japan, Latvia, Lithuania, Macedonia, Mexico, Moldova, Netherlands, Norway, Poland, Portugal, Romania, Russia, Slovakia, Slovenia, Spain, Sweden, Switzerland, Ukraine, United_kingdom, United_states",Animalia,Annelida,Terrestrial,France
Dendrobates auratus,"Ecuador, United_states",Animalia,Chordata,Freshwater_terrestrial,"Colombia, Costa Rica, Nicaragua, Panama, United States of America"
Dendroctonus valens,"Canada, China, Guatemala, Honduras, Mexico, United_states",Animalia,Arthropoda,Terrestrial,
Dendrocygna arcuata,Singapore,Animalia,Chordata,Freshwater_terrestrial,"Australia, Fiji, Indonesia, Papua New Guinea, Philippines"
